day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
245,Tue,20140902,2014,09,02,82,67,74.5,0.01,0.0,0,11590,2151,6586,8738,2852,10534061,1704816,4538278,6243957,4290104
132,Mon,20140512,2014,05,12,84,64,74.0,2.09,0.0,0,8193,1287,4579,5866,2327,8284843,1126723,3146964,4273687,4011156
146,Mon,20140526,2014,05,26,87,61,74.0,0.0,0.0,0,12865,1186,2747,3933,8932,20326052,1150089,2335870,3485959,16840093
171,Fri,20140620,2014,06,20,85,63,74.0,0.01,0.0,0,12424,2124,6314,8439,3985,12751345,1775837,4533150,6310100,6441245
220,Fri,20140808,2014,08,08,82,66,74.0,0.0,0.0,0,14308,2337,6768,9106,5202,15185500,1930127,4836413,6767345,8418155
230,Mon,20140818,2014,08,18,83,65,74.0,0.0,0.0,0,13282,2389,6736,9125,4157,13582498,1923612,4575274,6498886,7083612
140,Tue,20140520,2014,05,20,85,62,73.5,0.82,0.0,0,10551,1701,5501,7202,3349,11465426,1483156,4045538,5528694,5936732
154,Tue,20140603,2014,06,03,81,66,73.5,0.0,0.0,0,12590,2120,6205,8325,4265,13603295,1777221,4561929,6339150,7264145
174,Mon,20140623,2014,06,23,81,66,73.5,0.05,0.0,0,9598,1606,5260,6866,2732,9353305,1312089,3638768,4950857,4402448
178,Fri,20140627,2014,06,27,88,59,73.5,0.0,0.0,0,14661,2309,6587,8896,5765,16876941,1976451,4843251,6819702,10057239
182,Tue,20140701,2014,07,01,80,67,73.5,0.0,0.0,0,13279,2531,6952,9483,3796,13138994,2141437,4882084,7023521,6115473
189,Tue,20140708,2014,07,08,81,66,73.5,0.54,0.0,0,11942,2293,6359,8649,3293,11758545,1911942,4537556,6446077,5312468
213,Fri,20140801,2014,08,01,85,62,73.5,0.15,0.0,0,13399,2222,6500,8722,4677,14034605,1744928,4490194,6235122,7799483
221,Sat,20140809,2014,08,09,80,66,73.0,0.0,0.0,0,16612,2237,4490,6726,9886,22671889,2068424,3621131,5687319,16984570
